"","x"
"1661","Here's something totally wild. When home team is ahead by 2 after first half (red line), the most popular score differential in 2nd half, by far, is minus 2.

Same pattern holds at every score from -2 to +2.

The mythyical Law of Averages is actually... true!

cc: @ChelseaParlett https://t.co/BUfvwBqJ5A"
"1662","You get a similar situation, with regards to scoring the same number of points as you allow, if we only look at the score differential in the 2nd half. https://t.co/2MozsoWM8Q"
"1663","@alyssastweeting Hockey Canada: We've invested alot of resources! Our women team in hockey are best in the world.

IOC Head Dimanno: In that case: no more Olympic hockey for world. 

HC: Wait, what?

D: They have too much passion, talent.  Invest less, select worse players, let others catch up."
"1664","@alyssastweeting This writer is on a 25-year plan apparently...

https://t.co/aABR3otgz9"
"1665","Finally, comparing half to half.

We see that it's at the 1 to 9 points of trailing that they play a bit more aggressively.  Not much, but just enough to make a small dent.

And when the home team is tied, their mindset is to play it like they are ahead by 1. https://t.co/4OLOoxQPBw"
"1666","So this is something that is well known in hockey, that the percentage of goals scored by the trailing team is higher than if they were leading.

We see the same kind of thing in basketball. https://t.co/03yLhzrGft"
"1667","So, it's not that something is happened at 0.  Rather, the away team being ahead means there's a different mindset at play (maybe they are less aggressive).

And the home team being tied, or ahead, means they are less aggressive.

cc: @PhilBirnbaum"
"1668","I added in best-fit line.  When the home team is trailing by 1 to 4 points at the half, their win% ends up being 2% points above the expected. (More precisely, 1.86%)

When they are tied to ahead by 4, their win% ends up being 2% points below the expected. (More precisely, 1.71%) https://t.co/dYE8SdUFZv"
"1669","cc: @TravisRPetersen

The most games in any bin ~2000, which means one standard deviation is 1.1%.

Average gain from point to point is 3% to 4%... except when score is tied, where it drops by 1%.

But more importantly, it's better to be ahead by 1 than behind by 1. @StatModeling https://t.co/xrnAvY2t1T"
"1670","@samnarotsky And they sounded just as ridiculous then as now"
"1671","Turned on the TV and happened to be on the Pro Bowl game, a minute before the half started.

Uhmmmm.... who the heck are these announcers?  None of them are actually talking about the game. I had to bail, sorry my football friends."
"1672","Imagine saying this about the basketball Dream Team https://t.co/AajpZh1bI4"
"1673","https://t.co/hiC1PWRyJ3 https://t.co/QnV82xg5sU"
"1674","Interestingly, best offensive year of Andre Dawson with  Cubs was NOT his first year when he hit 49 HR and won  MVP on strength of that and his 137 RBI. It was either 1988 or 1990.

For those who prefer more context-specific stats, 1987 RE24 is bit ahead, while WPA is bit behind. https://t.co/LGJFQc52na"
"1675","Do you have a ""readme.txt"" file in order to prepare in filing your taxes?  (So that you don't have to worry about where to start or missing a step)"
"1676","This is the one thing baseball has over every other sport: just looking at the game state (bases, inning, score, outs), and you can instantly jump into watching the clip with no other setup.  It doesn't matter whether this is 10 years ago or 100 years ago. https://t.co/MAEC1bu21z"
"1677","So far, the women hockey teams goals scored and allowed:

Canada: 23-2 (2 games)
USA: 18-2 (3 games)

Canada has one more game before all the dress rehearsals are done, and we get the actual play.

That's Monday night, 23:10. https://t.co/HmRMo9jpUC"
"1678","Has Torts cancelled himself?

Everywhere I look, I see Zegras, and not a single mention of Torts."
"1679","@JordanPransky @pobguy https://t.co/fEKbOkTcPP"
"1680","@MarkArmour04 Replacement level food.

When I absolutely cant find anything to eat on the menu.

No ketchup, mustard only"
"1681","#Wordle232 6*

⬜⬜⬜⬜⬜
⬜🟨⬜⬜🟨
🟩🟨🟩⬜⬜
🟩⬜🟩🟩🟩
🟩⬜🟩🟩🟩
🟩🟩🟩🟩🟩
.
.
.
.
.
.
.
.
.
.
.
We had 4 choices for our last 3 tries."
"1682","Daredevil, Season 4 https://t.co/4fTKF2WHPu"
"1683","Whoah! https://t.co/DiatKH02O7"
"1684","@ellen_adair @LastWaltzer @robneyer And the charitable foundation that he himself started is called the Hank Aaron Chasing the Dream Foundation. https://t.co/DFjWDvrfE2"
"1685","@ellen_adair @LastWaltzer @robneyer I don't know how true that story is.  After all, he was perfectly fine to participate in this commercial as Hank:

https://t.co/JP15bbsCP9"
"1686","EXPOS FAN: My moment is Blue Monday.  Yes, I know the Expos fans will be the only ones to highlight an OPPONENT doing something good.  But, that's the life we have led. https://t.co/vSpI6dlDuK"
"1687","@dougdirt24 @injuryexpert I did not remember that.  

https://t.co/qxWAdThwKN"
"1688","Bo Jackson or Michael Jordan?  Hear from the man who played with both

https://t.co/nkQ5W118Ri"
"1689","I don't remember pitch accuracy, but the other three were all done in the 1980s.

Indeed, one season, with Bo Jackson as one of the participants, it was Tim Raines that won the whole thing. https://t.co/chpd1IblhT"
"1690","I did this pitch count estimator some 15-20 years ago.  This is the basic one:
https://t.co/oLJ8MMjDMy

The extended one is a bit more involved.  I actually never tested it, so it's actually due for an #AspiringSaberist to improve upon it.

https://t.co/tmpZcGlskl"
"1691","@metbaseball https://t.co/rsdyeBNn9h"
"1692","More generally speaking, just a matter of plotting your known points for the vantage point you are after.  You'll end up with two lines that look like this.

Then it's a simple fit and condition.

All that work for you @TheMagnusPI ? https://t.co/tEDjxhCuJ4"
"1693","Depending on the vantage point (pitcher or catcher), you can play around with this framework.  

A *movement angle* of 90 degrees (using Cartesian plane) corresponds to a *spin axis* of 180 degrees or 0 degrees, again, depending on your vantage point. https://t.co/6FEreN6jut https://t.co/hwwSr0Vzi9"
"1694","@DSzymborski I'll pay 100 quatlus for your NFT"
"1695","#Wordle231 3*

🟨🟨⬜⬜🟨
🟨🟩🟩🟨🟩
🟩🟩🟩🟩🟩"
"1696","I say The MLB to folks upset Ray Liotta is opposite handed to Shoeless Joe. https://t.co/Bw2LtHYvr1"
"1697","Its impressive that former players like Messier and Chelios look like they could still play"
"1698","@RealSamSchultz @hscer So what's the difference between a fajita and taco?"
"1699","@hscer I love fajitas and gyros. Assuming a taco has a hard shell, and fajitas/gyros is soft, that's the dealbreaker for me."
"1700","I've never had a taco https://t.co/Zv44AkWCZz"
"1701","Not a good week for town halls... https://t.co/qLjyL3GrQu"
"1702","The angst should happen if you are NOT negative https://t.co/8XEcGnA31F"
"1703","@asmae_toumi Did you think being an American would be different from being a Canadian?"
"1704","@Thorbs11 My tweet was about the two movies.  And I don't care about the adaptation of the source material, which is my point.  Movies are a suspension of disbelief, and the first movie worked wonderfully.  (I don't think I watched the 2nd one, or at least all of it.)"
"1705","Watch the youtube linked above.  This is a wonderful interview by @TheBeatwriterMG and an impressive set of answers by Rick White."
"1706","@Thorbs11 If you focus on the movies, and only the movies, which scenes exactly did not work because Cruise was a small guy?"
"1707","I love that someone from Colombia (not the university, but the nation) interviews Rick White to talk about baseball https://t.co/8nMMzR6tig"
"1708","One of the good scenes in the movie was when Tom Cruise tells 5 guys that they are about to lose.  In this case, Cruise being small HELPS the drama there, as he proceeds to take them down.  If he was Hulk, that scene wouldn't work as well."
"1709","This is the Ray Liotta / Shoeless Joe issue: fans of that genre will take something that is totally irrelevant, and make it the most critical part of the movie. https://t.co/1KHqZc8ZBc"
"1710","#Wordle230 4*

🟨🟨⬜⬜⬜
⬜⬜🟨⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
"1711","@MarkArmour04 @baseballtwit @TouchAndGo44 This is just so much more obvious in hockey and football.  No one would think of putting 10 of their top 12 players among those from Rocket Richard's era or earlier.

Just deal with the same reality that is obvious in those other sports."
"1712","Donuts fighting for the play-in spot, while the Chocolat Croissant is getting a bye all the way to the final 4. https://t.co/MdFQxdTOpn https://t.co/fFzlninMDf"
"1713","Sheldon is totally right here.

If the CEO, the son of the chairman, accepted being shutdown by Rocky, who could dare speak up? https://t.co/1aHIbWftNJ"
"1714","@Nt_BurtReynolds Unfortunately, we had some issues with Sahlen/2020.  We made a fix, but that broke something else.  We made a new fix, so this should get cleared up tomorrow AM.

If you can hang on a little while longer, we should be good."
"1715","@baseballtwit @TouchAndGo44 Based on my followers half have no idea what to do with Charlie.

And so, given the option between him and say Boggs, naturally, the half who don't know any better will choose Boggs.

https://t.co/BnyRfkACl5"
"1716","@baseballtwit @TouchAndGo44 Their problem is that they didn't know how to run a poll.  It's really that simple.  You absolutely needed the ""abstain"" option. Without that, the results were inevitable.  

https://t.co/vA9ZfqSaMh"
"1717","https://t.co/29x1Kz5FUE"
"1718","@BonerStaboner @JeffVeillette I don't think he was upset, so much that he was embarrassed.

https://t.co/k5wf9ZcXSg"
"1719","#Wordle229 4*

⬜🟨⬜⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩"
"1720","When the NHL smartly made their top 100, they split into two eras.

https://t.co/LiQjaj2MFo"
"1721","Makes you wonder if taking 5 minutes to review and confirm a goal was worth it https://t.co/i4XK9I1O3C"
"1722","A reminder that doing alltime top100 lists dont work in baseball. 

You really,  really ought to do it by era. https://t.co/0UufXriB4Y"
"1723","@JeffVeillette I forgot about that... I love how he says he's getting hot under the collar at the 5 minute mark, yet he's as lowkey as he's ever been"
"1724","@JeffVeillette By the way, that was the year that the Devils and Penguins were in a race to last place.  The ""winner"" got to draft Mario Lemieux, while the other team gets Kirk Muller.

That was the year the Habs swooped in for Petr Svoboda, unbeknownst to the rest of the league."
"1725","@JeffVeillette Last night, in 1983 with Devils when Oilers beat them 13-4 (Gretzky had 8 points), and then one time a Kings coach tried to bench him, and he told him ""we're trying to win a Stanley Cup here!""  That's it, I think that's the three times Gretzky got upset.

https://t.co/MYJlOcCF31 https://t.co/g56Mut9b3r"
"1726","Monday morning: Give Rocky emeritus status, change the logo, and accept everything Beach wants.

Then go to lunch. https://t.co/k2hs2cs4UG https://t.co/2qEuFy8QUv"
"1727","I did this ten years ago, but always a good reminder:

https://t.co/hlRYENcNjc

""How do leadoff hitters approach the 1st and 9th innings of a tied game?""

Lots more good stuff in the thread... https://t.co/stUcDk1X3H"
"1728","@ReallySeamus Yup, that's true!"
"1729","More good stuff... https://t.co/djHLoYYl0p"
"1730","If you look at the top of the 9th, tied game, home teams actually won 51.8% of the time, while a probabilistic model would say 52.2%.

So, in the cases where strategy really matters, batting last is a small sliver of a DISadvantage.

All in all, the default position should be: 🤷🏿‍♀️"
"1731","Using actual data at the time (1979-1990), the home team won 54.2% of the time.
https://t.co/Sb0V9YQj30

A pure probabilistic process would say 53.9% of the time.
https://t.co/h1g7U8BHzi

So, the smallest sliver of an advantage to batting last.

However:

2/n"
"1732","Does the home team have an advantage in batting last?  

No.

I posted a link to an extensive study if you want to read that.
https://t.co/8i55sT4abB

But let me show an easier way.  

1/n"
"1733","@SabinAnalytics @StatsbyLopez This is from @chadwickbureau back in 2003.

https://t.co/muskiJOnjo

The way I've done it is even simpler: the expectation for the home team winning in real-life matches what you'd expect from simulations if the home team bats first. https://t.co/r424MzfwTq"
"1734","@SabinAnalytics @StatsbyLopez I don't know that there is a ""Second mover"" advantage in baseball.  Indeed, it can be a DISADVANTAGE.

As best as I can tell, the home team batting last is pretty neutral."
"1735","@symphyotrichum @nderanek5 Right.  Based on the responses though, it seems that it's too esoteric a concept.

It's hard to beat the ""equal tries"", the way baseball is setup with innings."
"1736","@StatsbyLopez Without giving it any thought: we could mitigate it with needing to win by 6+.  Or you'd have to score a TD to win.

Really, I'd bet you or any of the bright saber folks out there can build out the ideal OT rules, given the ""equal possessions, same yard line"" constraint."
"1737","@symphyotrichum Now that would be insane!  It's like there was a penalty to end the game, so you have to have one last play.  I like it!"
"1738","My dog... Jagr?!?   Cool! https://t.co/tkwIqCrYBD"
"1739","If the voters were as adamant in favor for one side as for all the reasons they are against the other side, Fred McGriff, Dale Murphy, and David Cone would be in the Hall of Fame already."
"1740","Well, that's an overwhelming win right there... https://t.co/bh71lskxRw"
"1741","What's your preferred OT ending in REGULAR SEASON football?

A. Each side has equal number of drives
B. Spot/Choose, first team to score
C. Spot/Choose, one drive only. Team scores, wins. Doesn't score, opp wins."
"1742","@Sky_Kalkman @bburkeESPN I presume it's a different answer if it's start of half, or sudden death OT (and especially if it's FG v TD as the allowed score to end the game, and in OT if it's single-drive).

It'll be close to the 20 I'd guess in regulation."
"1743","We did it!

I think @bburkeESPN
was one of the first to suggest this way back in 2010.

I would prefer the OT rule requires a TD to win though https://t.co/QyhTdW7VKE"
"1744","I'd put in a 2 minute timer on replay
 
This was insanely long"
"1745","Canada Olympic hockey game is on now"
"1746","Gotta love @NHL_On_TNT taking on the Hawks"
"1747","Danny  is the CEO.  

Rocky, chairman and owner of the Hawks, is his father.

Rocky: ""I'm going to answer the question, not Danny."" ... (goes on tirade)

Danny: ""I can pick up...""

Rocky: ""No..."" (continues tirade)

This is an unreal exchange. https://t.co/3mdtZal16i"
"1748","Blog Post: How to calculate amount of movement due to gravity https://t.co/gLDe3byZjJ"
"1749","#Wordle228 4*

🟨⬜⬜⬜🟨
🟨🟨⬜⬜⬜
⬜🟩⬜🟨🟨
🟩🟩🟩🟩🟩"
"1750","Whoah... great for Canada, naturally.  But why would USA do this to their team? https://t.co/rqhDWQqr75"
"1751","https://t.co/VNhECIEakE https://t.co/O0bUIr7XRn"
"1752","Jagr scored the OT goal at MSG for the Penguins, in Gretzky's last game in his career.

Jagr apologized to Gretzky. Gretzky told him it was the passing of the baton.

I sure hope they talk about that moment tonight

https://t.co/DrRXLGN70y https://t.co/lsvxWWXIPR https://t.co/EHLHD6MQr7"
"1753","Every club should be doing this... https://t.co/THxEK57fsh"
"1754","https://t.co/UjBgK4BMhK"
"1755","https://t.co/dATJJ8zlGX"
"1756","I have this memory of really liking Picket Fences (David E Kelley), where they had alot of twists, with great quirky characters.  And I seemed to like the episodes where Marlee Matlin was a guest.  That was 30 years ago, so who knows if I'm remembering right. https://t.co/mwswv5IwOY"
"1757","@metbaseball Look at your original tweet"
"1758","Washington.."
"1759","@metbaseball Your wOBA numbers at .340+ are obviously wrong"
"1760","@harsh12eight @twitchejnave @darenw Thank you for bringing this up.  I'm going to guess it has to do with the Jays playing in non-Statcast parks.  Same thing happens with other Jays players.

cc: @JasonBernard_"
"1761","@JPosnanski This is the methodology I have used for the last 15 years.  However, I make sure there's an ""abstain"" for people who don't know what to do with Oscar Charleston and his peers.

cc: @JeffPassan https://t.co/cH5kBLgTTQ"
"1762","@metbaseball https://t.co/UcRBWWlmiX

22010/181817 = 0.121 runs per PA

Multiply that by the number of PA that your batter had, and that's how many runs an average batter would have created. https://t.co/tos5djtU7w"
"1763","So what happens is that you'd likely have half the voters having no idea what to do with Charleston, and so, in a close race like this, totally destroys his proper ranking.

Here's how y'all see him:
https://t.co/BnyRfkACl5"
"1764","Obviously too early for Shesterkin @bhabs37 , but quite the company.

Two of the best 3 seasons of all time by Jacques Plante... neither of them with the Habs.

Both of them he was in his 40s. https://t.co/oxlsXhcXyW"
"1765","https://t.co/rMTOiRXoFr

The best goalie season of all time could have very well been put up by noted superstar Maple Leafs goalie.... Jacques Plante. https://t.co/6GCsLHwgPx"
"1766","In 1994, Hasek gave up 54 fewer goals than league average goalie.

In 1997, Hasek gave up 54 fewer goals than league average goalie.

In 1998, Hasek gave up 54 fewer goals than league average goalie.

In 1999, Hasek gave up 54 fewer goals than league average goalie."
"1767","When you do lists like this with a consortium, you end up with something like this:
""53. Oscar Charleston"" https://t.co/Z1a7YB4MJC"
"1768","@TomGrinchy There's withholding tax on your paycheque.  And you should pay quarterly tax otherwise.

The April filing is basically a reconciliation to figure out how much more you owe, or how much you overpaid."
"1769","When are you going to do your taxes?"
"1770","My kid zooming from home into class: sees everything, hears everything, comfortable seating area, logs in 1 minute before class starts

My kid attending in person: very far away, can barely see or hear anything, cramped in tight quarters, takes 30 min to get ready and go to class"
"1771","That's wild.  Here it is in SQL (BigQuery) https://t.co/A4uzgzYlIx https://t.co/ZHovoyNPdj"
"1772","https://t.co/idGK2AJCoO"
"1773","Interesting in Boston.  I've never come across this in Montreal, but I never lived in the congested part of the island.  But I applaud the idea. https://t.co/87SZrRD1Uc https://t.co/4jEpB6iA0m"
"1774","Whenever you put a good deal of effort to select the first of a decently-sized group that has been totally ignored, by definition, you will improve society.  This is true in sports, or life."
"1775","Torts is going to be more upset about the ""bad"" habits this kid is learning than fighting in hockey https://t.co/wTDuBJy5sp"
"1776","Totally different when you have no pressure in practice and then you... whoops... there goes another made up narrative. https://t.co/wTDuBJy5sp"
"1777","I'd like to know what Severson was thinking in the first, and especially the last, frame. https://t.co/W4yi5EPikM https://t.co/pCTMICs0w2"
"1778","Jagr will turn 50 years old in two weeks.
https://t.co/L9qea4ncj4

He's a +7 on a team filled with minuses. https://t.co/KjBS92c4Hz https://t.co/LayCbCZZ8a"
"1779","@Josh_ADHD A few weeks back, the word was TANGY, and boy did we fist-pump that one!"
"1780","#Wordle227 3*

🟩⬜⬜⬜🟨
🟩⬜🟩⬜🟩
🟩🟩🟩🟩🟩"
"1781","@jonweisman Or MasterMind is Jotto without the letters..."
"1782","#Wordle226 3*

🟨⬜⬜🟨⬜
🟨🟨⬜🟨⬜
🟩🟩🟩🟩🟩"
"1783","https://t.co/cmWnGs7A4T

And here is @KyleOrl talking about IP law. I'm sure he'll have more on whatever NY Times thinks it bought..."
"1784","https://t.co/oPOZgUrHOT

So, Lingo is the solitary version of Jotto."
"1785","Does NY Times not know that the Wordle is a derivative work of Lingo?

Yup, they do.

https://t.co/sCxjAlQPkl. https://t.co/3DBNAlq0vm https://t.co/exw0XyWldG"
"1786","Terrific job by NHL to include women in the skills competition https://t.co/EZR5QRjvHJ"
"1787","#Statcast Bat Flip Probability = 0% https://t.co/77NKj5LFNL"
"1788","@samlub Behind the scenes of one of the greatest TV skits of all time:

https://t.co/YIln959Dp8"
"1789","@BrianMorris_Jr Right, something like if you take the necessary and safe circular route, you'll need to cover 20 parsecs.  But if you know your way ahead, you can get to the same place over 12 parsecs.

More importantly: any planet in the universe can define ""parsec"" to mean whatever they want."
"1790","This is like Star Wars fans complaining about the ""Kessel Run in 12 parsecs"", because a parsec is a unit of distance, not time.

Out of all the things Star Wars asks the viewer to suspend their disbelief on, apparently this one is the hill some fans will die on."
"1791","Important point there: the analytical work done at the club level has to be actionable, otherwise it just becomes a theoretical exercise for itself.  

Which is fine in the public sphere, not so much for a club. https://t.co/KsYwGxFKgD"
"1792","@lowther_fan @RotoClegg https://t.co/HOhMYT120t"
"1793","@TheMagnusPI Million Dollar Arm is my last guess..."
"1794","@TheMagnusPI Trouble with the Curve maybe?  One of those two I think... someone else can look it up"
"1795","@TheMagnusPI Was it 42?"
"1796","Last year or two years ago, I spent several hours on LogLoss, breaking it down, creating various models.  I felt I was somewhere between ""good student"" and ""I could teach it"".

At this very moment, Jan 31, 2022, 10:32 ET, I would say ""I can barely follow it""."
"1797","@TheMagnusPI @infieldflygrl Not a baseball movie per se, but I don't think you can beat Dazed and Confused."
"1798","What is your expertise level on the topic of LogLoss"
"1799","If 98% of y'all are baseball fans, I need to up my Star-Trek and hockey posts to get some diversity.

And I'm glad majority of baseball fans see movies based on true events through an artistic lens, and not treat stories about literal (or ephemeral) ghosts as a documentary. https://t.co/Tx6b0YKj7m"
"1800","@samlub Sure, but wasn't asking about ""close"" games. I was talking specifically as to what we witnessed the last two weeks, where all six games had a 3-point difference or ended in OT.

If I had 5 options on Twitter, I could have included the ""close-not-same"" category, but alas!"
"1801","Shoeless Joe Jackson bats lefthanded (and throws with his right).

Ray Liotta bats righthanded (and throws with his left).

1. Do you care?
2. Are you a baseball fan?"
"1802","@nickwillisjr I don't research football, so if someone wants to offer something better (and as quick!), feel free.

If someone wants to do it the best way, with Leverage Index research instead, the dance floor is all yours..."
"1803","Of all 55 Super Bowl games:
- 8 were ""same!""
- 20 had a score difference of 17+
- 27 were in-between

Those percentages are, respectively:
15%
36%
49%

Current polling is:
25%
36%
39%"
"1804","All six NFL games these last two rounds ended in OT or the final score was within 3 points.

What do you expect from the Super Bowl?"
"1805","@EvolvingWild I used to have great cursive writing in school.

Now I have to put every ounce of effort to write a cheque without a mistake"
"1806","Imagine 20 guys all playing against their hero.... a hero strong enough to knock them down any chance he gets https://t.co/baNaYM59WO"
"1807","@AndrewPerpetua @mike_petriello @lot_49 @choice_fielder In my setup, it doesn't matter if it's the pitcher or not.  You have one player that sits out of the starting lineup.  In your above example, there's no subs, and so no changes.  The original 3B is still in the batting lineup."
"1808","@AndrewPerpetua @mike_petriello @lot_49 @choice_fielder ... in-game to RF, you can make double-switches.  A new catcher enters the game, in the place of the RF's batting lineup.  The relief pitcher takes the place of the original catcher's sitting-spot in the batting lineup."
"1809","@AndrewPerpetua @mike_petriello @lot_49 @choice_fielder Right, we don't need a DH and we also don't need the pitcher to bat either.  

I'd go with 8 fielders and 7 batters.  A team can sit ANY fielder from the batting lineup.  So, if you had Babe Ruth pitching, you might sit the C from the starting lineup.

In terms of moving Ruth..."
"1810","@AndrewPerpetua @mike_petriello @choice_fielder Personally, I would remove one fielder from the field of play.  You'd likely get something similar in terms of incentives and effect.  

That said, I love insane ideas, and this is as clever an insane idea as I've seen."
"1811","@AndrewPerpetua @mike_petriello @choice_fielder It would be interesting if you were to call those as foul balls still.  This would be like the old games, where keeping the ball in the field of play is more advantageous.

But yeah, definitely alot of options as to what to do with those."
"1812","https://t.co/KPGy7LsrdO"
"1813","Baseball equivalent of letting Patrick Roy allow 9 goals before pulling him... https://t.co/S16ZomvUGc"
"1814","@BetterRuleBook I like the word one, because it's a couple of minutes of limited structured choices we can do as a family.  Then the final word gives you a sense of something tangible.

I tried the math one, and it's really pure randomness."
"1815","#Wordle225 4*

⬜⬜🟨🟨⬜
⬜⬜⬜🟩🟩
⬜🟨🟩🟩🟩
🟩🟩🟩🟩🟩"
"1816","@FarmerTortoise Satchel Paige"
"1817","@NHLhistorygirl https://t.co/lR0IHsngkm

Viggo Mortensen introducing Guy Lafleur, in perfect French"
"1818","In the 1964 World Series, Bob Gibson had 3 starts, throwing 27 IP.

In the 1967 World Series, Bob Gibson had 3 starts, throwing 27 IP.

In the 1968 World Series, Bob Gibson had 3 starts, throwing 27 IP."
"1819","For those wondering: obviously, this is the semi-final round, to see who will lose against Gretzky. https://t.co/qDAioA7KDb"
"1820","I think I'm way too old for this site, if this is the answer. https://t.co/XXsSdRFYl4"
"1821","Blog Post: Statcast Lab: Outfielder Positioning: What is the tradeoff between extra base hits and singles? https://t.co/IgYjA40uZ8 https://t.co/noD09UXhoq"
"1822","Both of these can be true, if you think ""1% cheer"" or ""1% boos"" can both allow the ""cheers"" and ""boos"".

Ideally, someone would say something like ""almost all cheers"" or ""almost all boos"" or ""even amount of cheers and boos"".

Can anyone at Rogers Place actually estimate that? https://t.co/VAIYYc1CR5"
"1823","@Bigbird3243 @HanSoleimany @scott_simkus ... you are throwing a ball 200 feet, then it's very different.  Bo Jackson throwing it at 200 feet would launch it at under 10 degrees, while your typical fan would launch it at 20+ degrees.  So, very different launch speed would be needed."
"1824","@Bigbird3243 @HanSoleimany @scott_simkus It's a straightforward concept: if you are throwing a ball as far as you can with as little hang time as you can, you are likely going to throw it with the ideal launch angle for distance.

In other words, most 400 foot throws would be thrown with the same speed.

However, if..."
"1825","@TheJoelingDead Oh, I didn't realize that that's what that meant... good stuff, thank you"
"1826","@TheJoelingDead Yours is pretty good.  This is ours:
25/25
0, 2, 1, 14, 8, 0

If I were to create a point system:
Maybe a 10, 8, 6, 5, 4, 3, 0 point system?

In that case, we're averaging 5.0, and you are 5.2

Btw, how do you win 100%, but a streak of only 24?"
"1827","#Wordle224 4*

⬜⬜⬜⬜🟨
⬜🟩🟨⬜🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
"1828","@tyler28gremont @fergieajenkins They are at 646.

They have 106 in the last 19 seasons.

They had 119 in their first 3 seasons."
"1829","@fergieajenkins The Blue Jays franchise in totality will surpass Cy Young's Complete Game record in 20 to 100 years from now."
"1830","@fergieajenkins All the Blue Jays pitchers combined, in their franchise history, haven't reached that number yet."
"1831","@ElVillasmil024 Sure, it terms of scoring at least one run.  But in terms of scoring multiple runs, it's no contest.  All depends how much value that 2nd and 3rd run has."
"1832","@HaniGOAT_ ... chance of scoring the lead runner.  I'll do a Twitter thread later this evening."
"1833","@HaniGOAT_ When you have a runner on 3B, then the chance that the lead runner is going to score is naturally going to be higher than when you have a runner on 2B.

However, having a second runner on base means more chances.

It's kinda straightforward to figure out RE24 if you know..."
"1834","How often do you keep your resume current?"
"1835","@metbaseball Thank you for the reminder: 

https://t.co/b6nM3BkMPT"
"1836","Should have mentioned this is for 2021"
"1837","Everyone has been too kind not to point out the typo.

I of course meant to say Probability, not Probably."
"1838","@JeromeVallerga Or try Google Books:

https://t.co/GbP8klazMa"
"1839","@JeromeVallerga Agreed.  There's a half dozen other considerations, which we detail in The Book, if that's of interest.  You can read a good deal of it for free on Amazon's Look Inside.  Just do a search for 
sacrifice
https://t.co/sNmBDSE5OS"
"1840","@CohenBrian_ Those numbers are very close.  That said, if you are going for two, and you miss, then that runner on 2B will find themselves at 3B."
"1841","#RE24
Probably of Scoring 
at Least One Run
In Inning https://t.co/WHuIJ8Z5dV"
"1842","@jpring07 You might be forgetting about the batter.
For example:
0.51: No one on
0.92: Runner on 1B
1.17: Runner on 2B

So, for Runners on 1B+2B, we'd expect:
1.58 = 1.17 + 0.92 - 0.51

And in reality:
1.56: Runner on 1B+2B"
"1843","Should have specified that the ""0 1 2"" is number of outs."
"1844","#RE24 2021 https://t.co/eI1BP0MSqv"
"1845","Support Rolen, if you want to support Nettles, Allen, and Boyer, not to mention Bell and Evans https://t.co/rIUgOHviaI"
"1846","Well, CVS charges an insane 17$ for a passport photo.

You might want to consider using this instead:
https://t.co/J2Z0ziTJQK

You'll end up paying just the standard one-sheet price, which is 39 cents at my CVS."
"1847","@JasonBernard_ We could literally only think of 2 words with the starting 3 letters

Ignorance is bliss"
"1848","https://t.co/Oa0nbN2fhr"
"1849","#Wordle223 4*

⬜⬜⬜⬜⬜
⬜⬜🟩⬜⬜
🟩🟩🟩⬜⬜
🟩🟩🟩🟩🟩"
"1850","Bonus: Torts is going to be upset. https://t.co/Gp7sYZLA9L"
"1851","@LanceBroz @mike_petriello As Mike said, there's a todo list, so, all requests get prioritized.

In the meantime, I believe this data is available via baseballR from @BillPetti"
"1852","@lindseyadler I've been trying to explain OAA as being intuitive, as it evaluates fielding the way a fan watching the play unfold would evaluate fielding.

But, your explanation is actually brilliantly terse, while being pretty expansive in its description. I'll be using it in the future! https://t.co/A6GMJsw78X"
"1853","@JoeCo09 Thank you for bringing this to our attention, we'll look into it!

cc: @JasonBernard_"
"1854","Good stuff from Lindsey and Eno... https://t.co/iGRYZ37GXO"
"1855","""I was scholastic player of the year in grade 11.. I didn't graduate grade 12, but grade 11 was a good year.""

""I play golf, but I don't enjoy it, so I question why I even do that.""

-- Stevie Y https://t.co/nuuThOw8XI"
"1856","Trying to include a constraint like ""straight line"" as much as possible, so we can all learn geography as well:

Tunisia
Oman
Morocco https://t.co/jnRcZt3c6Q"
"1857","@FreezeStats The stringer classification is at the discretion of the stringer, though we offer some good guidelines.

Analytically, I do my own thing, since I need objective criteria only."
"1858","@FreezeStats Thank you for that, we'll look into it"
"1859","@vinayplusj The two wrong letters is from among this group, which you can figure out if you sing them out.

Potential spoilers, so I recommend that folks stop reading.
...
...
...
...
...
...
...
...
...
...
DO-RE-ME-FA-SO-LA-PI-DO"
"1860","#Wordle222 5*

🟨⬜🟨⬜🟨
⬜🟨🟨⬜🟩
⬜🟩⬜🟩🟩
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
"1861","Spot/Choose is TD only,  no FG https://t.co/A60dZFt0V7"
"1862","@michaeljmengel Rocket"
"1863","The existence of Twitter for today has been justified... https://t.co/vjDh3onIFh"
"1864","...  after Wilt/Russell, it would be thoroughly dominated by players from the 1980s onwards.

And this is something the Neft/Cohen encyclopedia did so well, separate baseball history into eras."
"1865","As much as Poz tried to timeline adjust the baseball players, the old timers so thoroughly dominated the weaker opposition that it would seem the adjustment would otherwise be too high.

I don't follow basketball, but I'd assume it will be like hockey, that..."
